1001_Genomes_ID,leaf_ionome_Mo98
583,NA
6017,NA
9522,33.87346051
9536,32.06457198
9312,29.89422214
9532,28.0876754
9598,26.73440071
9515,25.95936734
4826,25.20733312
4931,25.0260287
9908,25.01229806
9990,24.66833555
5720,23.87275813
9113,23.51505683
265,22.86461166
9511,22.72770173
9600,22.57935401
7058,22.15767603
9871,22.1446759
5470,21.87382935
9520,21.78400028
9453,21.70407532
7107,20.97454593
6943,20.94207159
8132,20.75012059
7061,20.69045274
2276,20.36484326
5506,20.24866426
9550,19.95173704
8242,19.94487747
7947,19.94381034
7524,19.92515544
8213,19.61998174
9571,19.56315803
5535,18.97461914
7415,18.66358813
9873,18.59651031
9106,18.39071524
7413,17.90498486
9599,17.84018099
9339,17.67835782
10001,17.39305973
7280,17.34393879
7282,17.31284453
9855,17.29856659
100000,16.58661124
8249,16.55675598
6911,16.46444139
7525,16.42327566
6021,16.04352149
9946,16.00133916
9877,15.68201897
9809,15.57957288
9724,15.32867311
6974,15.05005057
6025,14.75562372
6125,14.57616338
9470,14.54593793
9849,14.53557478
6034,14.52176353
9512,14.41183932
9383,14.38928153
5831,14.29897865
9783,14.23362016
9529,13.97121301
9521,13.85134494
7126,13.81549565
5779,13.69428711
9561,13.58457809
9408,13.57288392
9454,13.5175783
9762,13.50309569
6163,13.44932174
9514,13.2658538
9986,13.23245952
10020,13.1045983
2317,13.06941715
9409,13.04532548
9826,12.9028187
9767,12.77237819
9882,12.62456599
9886,12.57855576
9381,12.56899058
7236,12.56815306
6106,12.54555275
6136,12.48204489
6154,12.42399833
9887,12.4210347
6195,12.32281692
7356,12.32111071
5784,12.2498147
9923,12.18220424
9593,12.14977591
7384,12.07600116
8422,12.04337092
9727,12.00650918
7516,12.00585053
6166,11.92817931
9819,11.89647784
9838,11.89272053
6124,11.86919989
9645,11.86575475
9761,11.85196761
7013,11.79140846
9858,11.79042933
9386,11.77894668
6153,11.72553911
5832,11.71369082
9922,11.6093531
6171,11.55714806
7164,11.55418745
9907,11.55203507
9531,11.51907583
9835,11.47825089
9580,11.44893907
7354,11.42704611
9552,11.35194788
10006,11.35092073
6276,11.32149876
9382,11.27912642
9125,11.27326124
7305,11.24447332
6897,11.23789593
9991,11.20253887
9343,11.10005803
6258,11.09901497
9816,11.09602774
9670,11.0365161
7351,10.9490823
9535,10.90826505
6149,10.89386462
6145,10.85943665
8259,10.81800184
6104,10.81402255
1257,10.78323912
9709,10.76274798
7068,10.64099701
9589,10.47833074
9543,10.46096522
9111,10.42799544
9584,10.41386841
9668,10.36511356
9749,10.35409004
1254,10.31182918
9507,10.30699695
9604,10.30322298
6969,10.30130891
9673,10.2696168
9669,10.25160736
9407,10.24372305
9665,10.24201003
7181,10.21187337
6972,10.20568088
9884,10.02994915
9114,10.02979457
9576,9.96404324
6173,9.959877023
7373,9.937116464
9527,9.926885048
7138,9.89590902
9807,9.831193009
6252,9.825026486
9405,9.816211939
6030,9.813776002
9965,9.811142993
6148,9.810967987
1002,9.805609439
6112,9.795618793
9476,9.775856546
8335,9.755265102
9404,9.734977399
9980,9.728590667
9565,9.725301286
7010,9.706412983
9755,9.701111652
6174,9.671729064
6172,9.658262755
9903,9.633403926
6968,9.576180401
9976,9.54540335
9455,9.531628353
9737,9.527969399
9626,9.493559086
9427,9.465049957
9899,9.445940526
9451,9.433135276
6131,9.420967588
9534,9.409204427
9091,9.38632089
9115,9.359060855
9671,9.354315298
6099,9.350967652
9567,9.306531216
5748,9.297916756
6268,9.268409638
9846,9.247214357
9697,9.230688413
8369,9.229168643
9927,9.21068071
9394,9.208382895
9650,9.12955678
9416,9.123337798
6231,9.02734935
9321,9.019860184
9768,8.991281261
6169,8.988522267
9566,8.965459733
10018,8.965129632
6413,8.959902123
9323,8.9547525
9513,8.943389687
9556,8.922228713
9528,8.891758546
9436,8.886230541
7273,8.882762672
9119,8.881574969
7062,8.873629469
9588,8.849758104
6202,8.845866395
8258,8.838151239
9876,8.792864129
9720,8.792616387
9583,8.786321587
992,8.77556303
7375,8.707321979
9653,8.682735938
8244,8.654156724
9601,8.62795047
9874,8.604294455
9597,8.570351993
6992,8.548558663
5865,8.545285627
9824,8.537907657
6076,8.522257151
9850,8.515773035
6917,8.513513805
9557,8.479867906
9745,8.473758413
9759,8.469646154
9587,8.465730813
6976,8.464907857
9796,8.45726962
9078,8.455735318
9442,8.42552519
8376,8.417326756
8247,8.402776298
9989,8.392876613
6020,8.356215765
9095,8.346541695
8275,8.288907402
7206,8.272888532
10008,8.24589769
9574,8.243108654
9948,8.233342149
6128,8.197115488
8337,8.196435398
9608,8.17663452
9817,8.160707189
9064,8.151935113
6142,8.141923545
6218,8.124870005
9799,8.121680387
8222,8.10031469
9371,8.090403462
9753,8.088204885
9791,8.085970201
9920,8.037619484
8256,8.015838189
5867,8.010902047
9889,7.997417332
9570,7.994418928
9648,7.928647194
6255,7.900711479
6177,7.89082838
6680,7.832889382
9928,7.825961525
9517,7.825531793
9890,7.804509914
9063,7.765785157
9726,7.746157224
9434,7.72301326
9594,7.722998113
9729,7.705671657
9820,7.703501836
9622,7.700891532
9716,7.700777102
6194,7.691574247
9773,7.677003324
9831,7.598864731
9073,7.580864711
10012,7.580745944
8243,7.532876616
6137,7.526411867
8297,7.51240354
7130,7.490969165
1137,7.478538697
9524,7.474335769
9971,7.447894308
9120,7.429523549
9806,7.422696444
9655,7.401166049
6904,7.398976134
9842,7.393340912
6928,7.392834537
5829,7.371202909
6073,7.369450449
9741,7.355649531
7163,7.331908536
9707,7.322653293
9881,7.319547968
9914,7.293993917
9764,7.28650798
6918,7.265010626
6221,7.264969832
9803,7.240419254
6217,7.236337273
6957,7.235740755
8231,7.235098745
9519,7.224814872
9591,7.218269956
9525,7.205352066
9672,7.199346044
9104,7.179642209
9804,7.16995256
9789,7.157956858
9569,7.155046745
9546,7.148051424
7202,7.146010883
9651,7.142757118
9590,7.138296592
7075,7.123206287
9853,7.117968721
8420,7.11519924
9121,7.094326848
7329,7.082597203
9840,7.052553498
9982,7.042813191
5210,7.032997106
9678,7.00011489
9969,6.996605382
9506,6.99398793
9776,6.99100565
9734,6.985539368
9798,6.970570047
9332,6.955981744
9390,6.942404288
9421,6.935896469
6959,6.918867055
10013,6.914741122
6074,6.901981026
8246,6.890877516
9544,6.859038879
9530,6.854790071
9538,6.843937326
9096,6.834220673
7917,6.81702461
1552,6.796547749
9898,6.789316107
9836,6.774478385
7471,6.769169403
9070,6.763577273
6994,6.762633394
6216,6.755522886
6220,6.747359096
9739,6.729524776
9085,6.719893501
9412,6.708462401
6107,6.707591952
9957,6.6936664
351,6.692231716
9084,6.687203013
9592,6.671794725
7268,6.670650321
9526,6.665269762
9099,6.65817744
9950,6.652708855
9897,6.652024826
9686,6.646361872
9916,6.636625977
9895,6.635117951
9399,6.631406333
9508,6.62282344
6922,6.62103496
6115,6.615756281
9098,6.613409342
9828,6.608179626
9562,6.594303168
8214,6.591476092
7167,6.560407548
9810,6.54157906
9956,6.541573008
9392,6.535106722
9595,6.531252562
10009,6.527763071
9688,6.516256079
7372,6.512353753
9921,6.50564553
9075,6.496639235
9823,6.495755452
9833,6.492514408
8428,6.492428795
9518,6.486767258
9677,6.468268863
7217,6.466692335
8230,6.464630811
7252,6.455144625
9577,6.441760349
6184,6.440587159
7208,6.435347596
9079,6.420500049
9770,6.395544305
