1001_Genomes_ID,leaf_ionome_Mo98
159,5.164345256
265,22.86461166
583,NA
630,4.027567291
763,2.352914531
770,0.856345644
991,4.315790452
992,8.77556303
1002,9.805609439
1062,1.202649144
1074,4.206447262
1137,7.478538697
1317,2.916130998
1318,1.76667645
1363,1.635315516
1435,0.407539256
1829,1.770530174
1872,4.75367824
1890,0.7776195
1954,4.357978764
2276,20.36484326
4779,5.584021849
4807,3.671961988
5210,7.032997106
5236,3.99482559
5253,5.288427362
5353,3.905152684
5726,4.465096048
5757,4.812828817
5784,12.2498147
5818,4.316601044
5822,6.250467273
5831,14.29897865
5837,3.202192949
5856,1.517380431
5867,8.010902047
5874,5.902276769
5964,6.135433911
5993,5.348259787
6012,2.399842609
6016,5.341677786
6019,3.41346654
6020,8.356215765
6025,14.75562372
6030,9.813776002
6034,14.52176353
6036,4.449890457
6039,3.812675775
6042,3.083688763
6064,2.393484377
6073,7.369450449
6076,8.522257151
6105,5.368841994
6106,12.54555275
6107,6.707591952
6108,5.826506527
6109,3.900647665
6114,6.321769876
6115,6.615756281
6118,1.143636806
6122,5.614036209
6125,14.57616338
6127,0.644285196
6129,3.454803025
6131,9.420967588
6140,6.219729822
6142,8.141923545
6151,3.526242048
6171,11.55714806
6172,9.658262755
6173,9.959877023
6191,4.497636441
6193,4.670805582
6195,12.32281692
6197,2.291641359
6198,3.364649744
6210,4.037486355
6218,8.124870005
6235,2.117486829
6237,2.257731671
6241,1.486038393
6258,11.09901497
6680,7.832889382
6903,3.788963907
6904,7.398976134
6911,16.46444139
6916,4.573601936
6917,8.513513805
6922,6.62103496
6931,1.074033312
6951,3.494462971
6957,7.235740755
6960,6.376905071
6961,6.354546818
6965,4.927667929
6966,5.821426363
6967,6.362985558
6968,9.576180401
6979,3.951528308
6982,4.941275743
6984,3.93586724
6990,4.950899689
7000,4.040839221
7002,5.477749432
7003,6.059132514
7014,5.061873688
7031,6.327428324
7036,6.063545102
7058,22.15767603
7062,8.873629469
7068,10.64099701
7077,5.595565326
7092,5.540674415
7094,4.805759285
7111,4.336535306
7117,2.600711413
7158,3.889012877
7163,7.331908536
7164,11.55418745
7177,2.846170291
7183,2.90213928
7192,5.473213786
7206,8.272888532
7209,6.105015544
7218,1.925317575
7231,6.132863771
7236,12.56815306
7244,4.077668818
7248,4.678634146
7250,4.592736321
7255,3.466957965
7268,6.670650321
7280,17.34393879
7308,4.940838533
7314,4.821475741
7319,4.775073215
7323,0.802814629
7329,7.082597203
7330,4.240463299
7333,3.994089589
7342,4.091444617
7344,4.464334821
7347,1.087901228
7354,11.42704611
7355,5.29776681
7382,5.824639701
7394,4.486536251
7404,2.136392201
7417,2.17242636
7458,1.386800587
7460,3.615787393
7471,6.769169403
7514,4.944256067
7515,4.668841815
7516,12.00585053
7517,2.347091319
7520,1.130469089
7522,4.78587372
7523,4.840250968
7717,3.258367005
8231,7.235098745
8234,5.620442161
8235,2.998385563
8240,4.560865443
8264,5.259507763
8275,8.288907402
8285,3.717604143
8297,7.51240354
8306,3.490187574
8312,4.842956498
8325,1.483231707
8326,3.325779552
8334,2.22691706
8335,9.755265102
8337,8.196435398
8354,5.906906964
8357,4.377829886
8365,3.806784014
8366,5.418492281
8378,5.409336005
8422,12.04337092
8423,4.515592106
8428,6.492428795
9058,4.551593304
9067,6.344600239
9069,5.325002623
9070,6.763577273
9073,7.580864711
9079,6.420500049
9082,5.816910382
9091,9.38632089
9098,6.613409342
9099,6.65817744
9103,5.502295136
9105,5.810669246
9106,18.39071524
9120,7.429523549
9125,11.27326124
9128,0.507609507
9133,0.275369218
9336,6.003086891
9352,5.948122846
9356,3.649830374
9369,2.584671948
9381,12.56899058
9386,11.77894668
9405,9.816211939
9416,9.123337798
9421,6.935896469
9433,2.375893616
9434,7.72301326
9437,5.855229284
9451,9.433135276
9452,5.08779551
9453,21.70407532
9470,14.54593793
9471,2.820234865
9481,3.367913448
9508,6.62282344
9509,5.857156538
9511,22.72770173
9513,8.943389687
9517,7.825531793
9518,6.486767258
9519,7.224814872
9522,33.87346051
9523,2.202791171
9524,7.474335769
9528,8.891758546
9530,6.854790071
9531,11.51907583
9534,9.409204427
9536,32.06457198
9538,6.843937326
9540,4.030858153
9542,4.906119579
9543,10.46096522
9544,6.859038879
9548,4.590766591
9550,19.95173704
9551,4.811456018
9558,6.124473519
9560,6.30202183
9564,5.616183471
9566,8.965459733
9569,7.155046745
9572,6.298773981
9578,5.146342259
9581,5.078950229
9582,5.314895241
9585,4.301552453
9586,4.226344581
9588,8.849758104
9591,7.218269956
9596,4.972264277
9597,8.570351993
9600,22.57935401
9601,8.62795047
9602,5.592800519
9603,5.464612998
9607,5.267901435
9609,1.463913732
9611,3.54792166
9612,1.943943473
9614,1.785411525
9615,4.59677934
9617,4.963519429
9621,0.865888856
9625,1.196132298
9626,9.493559086
9628,0.259260907
9629,2.382457845
9632,0.430500936
9637,1.227214631
9639,1.976552624
9642,1.654188058
9643,1.275622413
9648,7.928647194
9649,4.479050466
9652,5.344851658
9656,5.854104779
9659,0.728471721
9660,5.349108866
9663,5.151780776
9664,1.402464978
9665,10.24201003
9667,0.884538196
9689,1.235991109
9695,1.874399269
9696,4.718774536
9697,9.230688413
9698,4.166709262
9699,2.554795424
9700,5.94927219
9703,5.655123166
9711,4.155585324
9712,5.785828378
9714,1.566862231
9716,7.700777102
9717,4.158233207
9723,4.79064038
9727,12.00650918
9728,4.737088899
9730,6.099593803
9731,3.817765598
9732,1.096793408
9738,5.6321404
9739,6.729524776
9740,3.021164146
9741,7.355649531
9743,4.591850782
9744,3.392856241
9749,10.35409004
9754,1.182148314
9755,9.701111652
9757,1.751755668
9758,1.141309453
9759,8.469646154
9773,7.677003324
9775,3.959772382
9776,6.99100565
9778,6.115902453
9783,14.23362016
9785,4.751203631
9787,5.816276178
9791,8.085970201
9797,2.04653468
9798,6.970570047
9801,5.200982071
9811,0.989583601
9819,11.89647784
9821,4.463944879
9822,1.01922242
9826,12.9028187
9827,1.050171305
9830,4.362983272
9834,1.266305269
9835,11.47825089
9836,6.774478385
9837,4.692099677
9840,7.052553498
9845,1.576713863
9848,4.723591516
9851,5.843241913
9856,3.428271544
9857,2.113343325
9858,11.79042933
9861,5.105747953
9863,5.696501015
9866,6.19657566
9870,4.542438139
9880,4.198034365
9883,6.168873119
9887,12.4210347
9890,7.804509914
9892,5.602328459
9895,6.635117951
9897,6.652024826
9898,6.789316107
9900,2.827891934
9908,25.01229806
9914,7.293993917
9916,6.636625977
9917,3.921498631
9918,6.054633297
9924,6.026018869
9928,7.825961525
9929,4.312889301
9935,4.945950981
9939,5.624339122
9943,3.798543504
9944,6.039168409
9945,5.159024238
9948,8.233342149
9954,1.089786466
9959,1.594583596
9961,2.105545102
9963,5.796221046
9968,5.913055367
9970,3.967353038
9973,1.471126523
9982,7.042813191
9985,5.235836071
9986,13.23245952
9987,5.676548145
9989,8.392876613
9998,1.362056989
9999,0.867374225
10000,4.787239843
10001,17.39305973
10002,5.789818071
10003,4.463357968
10007,5.076373397
10009,6.527763071
10010,2.079439658
10014,4.565294769
10015,1.907630365
10020,13.1045983
10024,0.697150076
10025,6.070424213
